																																				Mean						Mean																									
	Constant-rate spraying																	Variable-rate spraying																			Constant-rate spraying		Variable-rate spraying				Constant-rate spraying			Variable-rate spraying				Constant-rate spraying										Variable-rate spraying							
		Spray Deposit (μm cm^-2)					Spray Deposit (stains cm^-2)						Spray Coverage (%)						Spray Deposit (μm cm^-2)					Spray Deposit (stains cm^-2)					Spray Coverage (%)								Spray Deposit (stains cm^-2)	Spray Coverage (%)	Spray Deposit (stains cm^-2)	Spray Coverage (%)				Spray Deposit (μm cm^-2)			Spray Deposit (μm cm^-2)				Spray Deposit (stains cm^-2)					Spray Coverage (%)				Spray Deposit (stains cm^-2)				Spray Coverage (%)			
		P1	P2	P3	P4	Mean	P1	P2	P3	P4	Mean	P1	P2	P3	P4	Mean			P1	P2	P3	P4	Mean	P1	P2	P3	P4	Mean	P1	P2	P3	P4	Mean																		P1	P2	P3	P4	P1	P2	P3	P4		P1	P2	P3	P4	P1	P2	P3	P4
B2	Top	1.436	0.989	0.979	0.342	0.9365	69	118	98	35	80	39.19	20.16	18.17	8.87	21.5975		Top	0.5936	0.584	0.479	0.589	0.5614	69	67	51	58	61.25	11.19	11.57	10.19	12.17	11.28			Middle	38	10.505	40.25	9.42			Middle	0.4275		Middle	0.34		B2	Top	69	118	98	35	39.19	20.16	18.17	8.87		69	67	51	58	11.19	11.57	10.19	12.17
	Middle	0.465	0.555	0.465	0.225	0.4275	36	44	48	24	38	12.95	10.61	12.83	5.63	10.505		Middle	0.375	0.315	0.305	0.365	0.34	45	34	36	46	40.25	9.95	9.95	8.95	8.83	9.42			Left	43	11.595	33	9.245			Left	0.486		Left	0.31575			Middle	36	44	48	24	12.95	10.61	12.83	5.63		45	34	36	46	9.95	9.95	8.95	8.83
	Left	0.566	0.586	0.566	0.226	0.486	43	45	62	22	43	13.22	13.52	14.32	5.32	11.595		Left	0.305	0.326	0.316	0.316	0.31575	31	35	33	33	33	9.22	9.22	8.22	10.32	9.245			Right	41.75	12.2575	40	9.18			Right	0.4405		Right	0.33575			Left	43	45	62	22	13.22	13.52	14.32	5.32		31	35	33	33	9.22	9.22	8.22	10.32
	Right	0.543	0.473	0.543	0.203	0.4405	39	52	56	20	41.75	13.58	14.69	14.98	5.78	12.2575		Right	0.364	0.303	0.293	0.383	0.33575	41	37	33	49	40	8.58	9.58	8.58	9.98	9.18			Bottom	24.25	7.4425	22.25	5.835			Bottom	0.3075		Bottom	0.21225			Right	39	52	56	20	13.58	14.69	14.98	5.78		41	37	33	49	8.58	9.58	8.58	9.98
	Bottom	0.391	0.301	0.391	0.147	0.3075	25	28	30	14	24.25	9.17	8.56	7.87	4.17	7.4425		Bottom	0.244	0.213	0.201	0.191	0.21225	25	19	20	25	22.25	6.07	5.17	5.69	6.41	5.835		B3	Top	81	26.47	64.75	13.025		B3	Top	0.80925	B3	Top	0.58175			Bottom	25	28	30	14	9.17	8.56	7.87	4.17		25	19	20	25	6.07	5.17	5.69	6.41
B3	Top	0.81	0.841	0.813	0.773	0.80925	68	88	83	85	81	20.43	33.89	35.93	15.63	26.47		Top	0.549	0.606	0.589	0.583	0.58175	61	70	60	68	64.75	12.69	12.43	13.12	13.86	13.025			Middle	37.75	11.2225	35.25	7.6775			Middle	0.356		Middle	0.281		B3	Top	68	88	83	85	20.43	33.89	35.93	15.63		61	70	60	68	12.69	12.43	13.12	13.86
	Middle	0.382	0.324	0.364	0.354	0.356	37	35	38	41	37.75	10.28	11.52	11.61	11.48	11.2225		Middle	0.292	0.264	0.324	0.244	0.281	35	35	41	30	35.25	8.28	8.24	6.28	7.91	7.6775			Left	34.5	11.6675	33	7.4375			Left	0.36225		Left	0.266			Middle	37	35	38	41	10.28	11.52	11.61	11.48		35	35	41	30	8.28	8.24	6.28	7.91
	Left	0.371	0.316	0.371	0.391	0.36225	33	31	35	39	34.5	13.82	12.62	10.21	10.02	11.6675		Left	0.283	0.274	0.276	0.231	0.266	33	31	35	33	33	7.82	7.82	7.82	6.29	7.4375			Right	38.5	11.0125	30.5	7.1775			Right	0.37125		Right	0.236			Left	33	31	35	39	13.82	12.62	10.21	10.02		33	31	35	33	7.82	7.82	7.82	6.29
	Right	0.312	0.381	0.411	0.381	0.37125	36	38	43	37	38.5	10.98	10.91	11.18	10.98	11.0125		Right	0.201	0.291	0.251	0.201	0.236	20	36	30	36	30.5	6.98	7.97	6.58	7.18	7.1775			Bottom	22	7.9725	15.75	4.805			Bottom	0.1875		Bottom	0.17425			Right	36	38	43	37	10.98	10.91	11.18	10.98		20	36	30	36	6.98	7.97	6.58	7.18
	Bottom	0.235	0.175	0.135	0.205	0.1875	17	25	28	18	22	7.4	8.41	8.64	7.44	7.9725		Bottom	0.165	0.171	0.186	0.175	0.17425	14	15	17	17	15.75	4.46	4.44	5.18	5.14	4.805		B4	Top	72.75	13.01	55.75	11.39		B4	Top	0.685	B4	Top	0.647			Bottom	17	25	28	18	7.4	8.41	8.64	7.44		14	15	17	17	4.46	4.44	5.18	5.14
